y,trend_1,trend_2,period7_seasonality,period12_seasonality,period30_seasonality,period52_seasonality,period365_seasonality
67.3937,-15.697199999999995,-8.77600000000001,92.6645,67.532,97.3552,107.3748,0.0
61.4415,-8.630800000000008,-1.0051999999999879,99.12,62.483,113.5254,99.6631,0.0
61.888,-5.952199999999998,7.066399999999987,114.723,63.7684,108.1455,91.6272,0.0
72.8712,0.44650000000000034,2.67860000000001,112.3297,75.0613,104.8251,75.3049,0.0
83.9315,10.983200000000004,6.398699999999998,106.4137,90.0211,90.1157,65.9342,0.0
89.0592,11.060299999999998,10.536700000000003,91.7217,92.6645,75.7187,61.5304,0.0
92.4522,5.127700000000004,0.0770999999999944,76.0245,99.12,70.2168,62.9796,0.0
111.3258,3.3930000000000007,-5.932599999999994,67.3937,114.723,62.7436,75.3447,0.0
106.9251,18.873599999999996,-1.7347000000000037,61.4415,112.3297,61.9418,84.2683,0.0
103.6909,-4.4007000000000005,15.480599999999995,61.888,106.4137,74.0597,84.5883,0.0
90.6197,-3.2342000000000013,-23.274299999999997,72.8712,91.7217,86.9646,90.5395,0.0
79.1839,-13.071200000000005,1.1664999999999992,83.9315,76.0245,90.131,109.9025,0.0
67.8849,-11.4358,-9.837000000000003,89.0592,67.3937,94.1542,103.8903,0.0
62.4032,-11.298999999999992,1.6354000000000042,92.4522,61.4415,110.0257,101.0265,0.0
63.0121,-5.481700000000004,0.13680000000000803,111.3258,61.888,107.4617,89.4762,0.0
73.9406,0.6088999999999984,5.817299999999989,106.9251,72.8712,103.8183,73.6952,0.0
86.4275,10.928500000000007,6.090600000000002,103.6909,83.9315,92.238,66.1573,0.0
91.2026,12.486899999999991,10.319600000000008,90.6197,89.0592,75.1034,61.0653,0.0
94.7007,4.775100000000009,1.5583999999999847,79.1839,92.4522,67.532,64.2659,0.0
110.1034,3.4980999999999938,-7.7117999999999824,67.8849,111.3258,62.483,75.4174,0.0
107.1544,15.402699999999996,-1.2770000000000152,62.4032,106.9251,63.7684,85.169,0.0
106.7727,-2.948999999999998,11.904600000000002,63.0121,103.6909,75.0613,85.0917,0.0
95.3163,-0.38169999999999504,-18.351699999999994,73.9406,90.6197,90.0211,97.3552,0.0
79.5977,-11.456400000000002,2.567300000000003,86.4275,79.1839,92.6645,113.5254,0.0
67.8927,-15.718599999999995,-11.074700000000007,91.2026,67.8849,99.12,108.1455,0.0
63.285,-11.704999999999998,-4.262199999999993,94.7007,62.4032,114.723,104.8251,0.0
66.9827,-4.607700000000008,4.013599999999997,110.1034,63.0121,112.3297,90.1157,0.0
76.4441,3.6976999999999975,7.09729999999999,107.1544,73.9406,106.4137,75.7187,0.0
85.8896,9.461400000000012,8.305400000000006,106.7727,86.4275,91.7217,70.2168,0.0
87.9979,9.445499999999996,5.763700000000014,95.3163,91.2026,76.0245,62.7436,0.0
92.1732,2.1083,-0.015900000000016234,79.5977,94.7007,67.3937,61.9418,0.0
108.4666,4.175299999999993,-7.337199999999996,67.8927,110.1034,61.4415,74.0597,0.0
107.8745,16.293400000000005,2.066999999999993,63.285,107.1544,61.888,86.9646,0.0
107.8574,-0.5921000000000021,12.118100000000013,66.9827,106.7727,72.8712,90.131,0.0
90.6691,-0.017099999999999227,-16.885500000000008,76.4441,95.3163,83.9315,94.1542,0.0
76.2283,-17.188299999999998,0.5750000000000028,85.8896,79.5977,89.0592,110.0257,0.0
66.4869,-14.440799999999996,-17.1712,87.9979,67.8927,92.4522,107.4617,0.0
63.8654,-9.741399999999999,2.7475000000000023,92.1732,63.285,111.3258,103.8183,0.0
60.5596,-2.6215000000000046,4.699399999999997,108.4666,66.9827,106.9251,92.238,0.0
76.4854,-3.305799999999998,7.119899999999994,107.8745,76.4441,103.6909,75.1034,0.0
86.6148,15.925799999999995,-0.6842999999999932,107.8574,85.8896,90.6197,67.532,0.0
89.0339,10.129400000000004,19.231599999999993,90.6691,87.9979,79.1839,62.483,0.0
93.6984,2.4191000000000003,-5.796399999999991,76.2283,92.1732,67.8849,63.7684,0.0
110.6836,4.664500000000004,-7.710300000000004,66.4869,108.4666,62.4032,75.0613,0.0
110.7837,16.985199999999992,2.2454000000000036,63.8654,107.8745,63.0121,90.0211,0.0
106.1196,0.10009999999999764,12.320699999999988,60.5596,107.8574,73.9406,92.6645,0.0
91.4711,-4.664099999999991,-16.885099999999994,76.4854,90.6691,86.4275,99.12,0.0
76.9246,-14.648499999999999,-4.764199999999988,86.6148,76.2283,91.2026,114.723,0.0
71.0281,-14.546500000000009,-9.984400000000008,89.0339,66.4869,94.7007,112.3297,0.0
66.5992,-5.896500000000003,0.10199999999998965,93.6984,63.8654,110.1034,106.4137,0.0
62.0754,-4.428899999999999,8.650000000000006,110.6836,60.5596,107.1544,91.7217,0.0
77.0295,-4.523799999999994,1.4676000000000045,110.7837,76.4854,106.7727,76.0245,0.0
88.5032,14.954099999999997,-0.09489999999999554,106.1196,86.6148,95.3163,67.3937,0.0
86.244,11.473700000000008,19.47789999999999,91.4711,89.0339,79.5977,61.4415,0.0
93.3385,-2.259200000000007,-3.480399999999989,76.9246,93.6984,67.8927,61.888,0.0
106.9338,7.0944999999999965,-13.732900000000015,71.0281,110.6836,63.285,72.8712,0.0
101.1462,13.595300000000009,9.353700000000003,66.5992,110.7837,66.9827,83.9315,0.0
98.2014,-5.787600000000012,6.500800000000012,62.0754,106.1196,76.4441,89.0592,0.0
86.1862,-2.9447999999999865,-19.38290000000002,77.0295,91.4711,85.8896,92.4522,0.0
72.0738,-12.015200000000007,2.8428000000000253,88.5032,76.9246,87.9979,111.3258,0.0
66.0278,-14.112399999999994,-9.07040000000002,86.244,71.0281,92.1732,106.9251,0.0
61.469,-6.0460000000000065,-2.0971999999999866,93.3385,66.5992,108.4666,103.6909,0.0
63.5263,-4.558799999999998,8.066399999999987,106.9338,62.0754,107.8745,90.6197,0.0
74.3646,2.057299999999998,1.4872000000000085,101.1462,77.0295,107.8574,79.1839,0.0
86.6512,10.838299999999997,6.616099999999996,98.2014,88.5032,90.6691,67.8849,0.0
83.5305,12.286600000000007,8.780999999999999,86.1862,86.244,76.2283,62.4032,0.0
94.3514,-3.1206999999999994,1.4483000000000104,72.0738,93.3385,66.4869,63.0121,0.0
110.2263,10.820899999999995,-15.407300000000006,66.0278,106.9338,63.8654,73.9406,0.0
107.5508,15.874899999999997,13.941599999999994,61.469,101.1462,60.5596,86.4275,0.0
105.2968,-2.6754999999999995,5.054000000000002,63.5263,98.2014,76.4854,91.2026,0.0
95.8909,-2.2539999999999907,-18.550399999999996,74.3646,86.1862,86.6148,94.7007,0.0
79.0648,-9.405900000000003,0.42150000000000887,86.6512,72.0738,89.0339,110.1034,0.0
70.3554,-16.826099999999997,-7.151900000000012,83.5305,66.0278,93.6984,107.1544,0.0
65.5867,-8.709400000000002,-7.420199999999994,94.3514,61.469,110.6836,106.7727,0.0
67.0011,-4.76870000000001,8.116699999999994,110.2263,63.5263,110.7837,95.3163,0.0
85.6144,1.4144000000000005,3.9406999999999925,107.5508,74.3646,106.1196,79.5977,0.0
96.7755,18.61330000000001,6.18310000000001,105.2968,86.6512,91.4711,67.8927,0.0
